Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Poverty gap at national poverty lines (%),,,,12.9,,,,,,8.8,,,,,,
Poverty gap at $3.20 a day (2011 PPP) (%),,,,24.4,,,,,,18.6,,,,,,11.5
Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),,,,56.1,,,,,,47,,,,,,29.6
GINI index (World Bank estimate),,,,63.3,,,,,,61,,,,,,59.1
Poverty gap at $1.90 a day (2011 PPP) (%),,,,10.2,,,,,,6.6,,,,,,4.6
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),,,,31.5,,,,,,22.6,,,,,,13.4
Income share held by lowest 20%,,,,3,,,,,,3.3,,,,,,2.8
Income share held by lowest 10%,,,,1.1,,,,,,1.3,,,,,,1
Income share held by highest 10%,,,,54.8,,,,,,51.8,,,,,,47.3
Income share held by highest 20%,,,,69,,,,,,66.4,,,,,,63.7
Income share held by fourth 20%,,,,14.5,,,,,,15.7,,,,,,17.9
Income share held by third 20%,,,,8.1,,,,,,8.9,,,,,,9.8
Income share held by second 20%,,,,5.3,,,,,,5.7,,,,,,5.8
"Domestic private health expenditure per capita, PPP (current international $)",174.35828102,166.14625116,176.22264969,204.19159277,217.61952392,280.59319366,299.55952822,208.46991566,181.50572825,218.09825277,261.29750614,299.76198455,318.89581803,278.75250114,249.36653364,420.48814302
Domestic private health expenditure per capita (current US$),74.13972422,61.94929846,58.52485553,93.57690857,115.83023147,155.1023533,164.86113023,114.83400578,92.7480425,115.34177112,163.64214543,192.5125189,200.76645785,159.77327618,132.73321588,187.24601486
Domestic private health expenditure (% of current health expenditure),34.87575415,33.00264021,33.00035987,33.99835598,32,35,35,25,23.3600421,33.82772276,33.29415604,35.37835517,37.99997056,33.70485123,30.00017748,40.1724082
"Out-of-pocket expenditure per capita, PPP (current international $)",15.85075282,15.10420465,21.36032117,30.02817541,27.20244049,32.06779356,25.67653099,58.37157638,46.16787115,60.34814331,74.80470383,88.34538791,92.31166423,82.09466481,74.81143537,76.76939427
Out-of-pocket expenditure per capita (current US$),6.73997493,5.63175441,7.09392188,13.76131008,14.47877893,17.72598323,14.13095402,32.15352162,23.59142996,31.91525675,46.84775757,56.73699147,58.116428,47.05440669,39.82075002,34.18589413
Out-of-pocket expenditure (% of current health expenditure),3.1705231,3.00024002,4.00004362,4.99975823,4,4,3,7,5.94186985,9.36018622,9.53150881,10.42665405,10.99995775,9.92632695,9.00023073,7.33436006
"Domestic general government health expenditure per capita, PPP (current international $)",300.98961558,312.15356279,341.76513879,366.34373997,394.4353871,376.79657434,376.58912119,458.63381445,417.61395905,348.15543847,423.80006011,457.54380289,453.16830759,491.00467105,531.97744236,566.16367728
Domestic general government health expenditure per capita (current US$),127.98524373,116.38959104,113.50275011,167.88798302,209.94229454,208.280303,207.25399229,252.63481271,213.39754726,184.12281799,265.41221955,293.84283045,285.30005972,281.4303893,283.1618007,252.11624654
Domestic general government health expenditure (% of general government expenditure),20.48963621,20.48963621,22.02589604,21.56929127,22.29819967,20.85611344,20.19656983,23.24532211,18.87839714,13.90641848,15.43018015,13.67304627,14.16087507,13.99308363,12.93001851,12.35236176
Domestic general government health expenditure (% of GDP),6.21880023,6.34455433,6.62579735,6.76287997,6.38449823,5.82919699,5.34016955,6.01148044,5.29643097,4.43295516,5.1123832,5.24628115,4.96221636,5.12615546,5.25081955,5.33585883
Domestic general government health expenditure (% of current health expenditure),60.20499728,62.0049604,64.00069794,60.99705043,58,47,44,55,53.74750295,54,54,54,54.00002564,59.36893596,63.99983773,54.08989226
"External health expenditure per capita, PPP (current international $)",24.59335279,25.13339654,16.01441746,30.0572162,68.00610122,144.30507103,179.73571693,166.77593253,177.87261219,78.47860222,99.71735988,89.99755124,67.13604557,57.28252976,49.87288522,59.82223552
External health expenditure per capita (current US$),10.45745796,9.37123933,5.31850741,13.77461889,36.19694733,79.76692455,98.91667814,91.86720462,90.89154791,41.50359235,62.4497453,57.79804037,42.26667551,32.83277248,26.54641882,26.63921775
External health expenditure (% of current health expenditure),4.91924858,4.99239939,2.99894219,5.00459359,10,18,21,20,22.89245496,12.17227724,12.70584396,10.62164483,8.0000038,6.92621281,5.99998479,5.71526999
"Current health expenditure per capita, PPP (current international $)",499.94124942,503.43321049,534.00220593,600.59254894,680.06101224,801.69483903,855.88436634,833.87966264,776.99229948,644.73229346,784.81492613,847.30333868,839.20017121,827.03970195,831.21686124,1046.70882792
Current health expenditure per capita (current US$),212.58242592,187.71012883,177.34611305,275.23951048,361.96947334,443.14958085,471.03180066,459.33602311,397.03713766,340.96818147,491.50411028,544.15338972,528.33319309,474.03643795,442.44143541,466.10602464
Current health expenditure (% of GDP),10.32937548,10.23233349,10.35269546,11.08722458,11.00775557,12.40254678,12.13674897,10.92996444,9.85428286,8.20917622,9.4673763,9.71533546,9.18928519,8.63440682,8.20442635,9.86479841
Newborns protected against tetanus (%),74,86,80,78,79,80,81,82,82,82,83,83,83,83,85,85
UHC service coverage index,,,,,,,,,,,,,,,,
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),,,,,,,,,,,,,,,,
Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,,,,,,,,,,,,,,,,
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),,,,,,,,,,,,,,,,
Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,,,,,,,,,,,,,,,,
Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),,,,,,,,,,,,,,,,
Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),,,,,,,,,,,,,,,,
Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,,,,,,,,,,,,,,,,
Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (% of GDP)",10.9780410712542,9.90056911924922,10.2644486421247,10.4583661032332,9.11739949579126,10.5829388671527,9.84535407926197,8.54689072791146,7.6300669061913,8.25322770550368,8.57779153605123,8.231879363485,8.05447519990682,6.34446082938625,6.68928067327184,5.9039162208296
"Agriculture, forestry, and fishing, value added (constant LCU)",6587823600,6135105300,6778276600,7048765900,7142851400,7552825100,7510235200,6824968300,5740362500,6757178400,7085186200,6990933300,7128596900,6314661800,6663084100,6291932600
"Agriculture, forestry, and fishing, value added (annual % growth)",8.86412529109082,-6.87204648284751,10.4834598356445,3.99053204762991,1.33477975201303,5.73963641466769,-0.563893634979053,-9.12443993764668,-15.891733885416,17.7134440551446,4.85421252160516,-1.33028119994927,1.96917341494303,-11.4178864567303,5.51767158773254,-5.57026587732848
"Agriculture, forestry, and fishing, value added (constant 2010 US$)",899828388.788723,837991763.645304,925842293.613069,962788327.05021,975639430.694422,1031637586.73442,1025820248.04677,932219895.645523,784073990.602633,922960498.278971,967762962.355898,954888993.607605,973692413.811943,862517319.565099,910108192.646014,859412746.544282
"Agriculture, forestry, and fishing, value added (current LCU)",2920943800,2963188300,3544093800,3806980300,3816699300,4792702700,5223452400,5263422700,5349478600,6207597600,7085186200,7417545900,8607302200,7790461100,9282277900,8860750600
"Agriculture, forestry, and fishing, value added (current US$)",420897403.383383,344188577.335873,336229453.451858,503255951.987521,590847763.828042,753652556.098942,771387787.04866,747072231.526954,647542560.402847,732572264.772178,967762962.355898,1021545757.52985,1048392472.5944,806875236.92142,855296645.074498,687845007.335874
"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",6148.19287683955,5598.3746052898,6128.78585764852,6348.1266977827,6384.8763395992,6480.32783328716,6123.38671749377,5342.27246747164,4296.35644031173,5012.92960784539,5127.86875977138,5156.81168252024,5322.50764810566,3948.14653113072,4358.57586252167,5023.43566756142
Trade (% of GDP),87.0918942294063,90.6450428678427,96.5341552537167,98.2351823827612,83.488746240789,82.349082225191,88.6242409972841,106.299854905326,121.207317583358,125.477558249863,108.41349125361,103.001158952659,103.56668452323,99.2349744071251,102.14273679212,107.135039932925
External balance on goods and services (% of GDP),-3.74419101151741,-6.62279421786305,-2.12404572985099,-9.30992250077107,-2.31140989999128,0.139601221874647,3.98009854600333,-5.33518004743996,-12.4987833670939,-20.7840368059743,-12.8989228507977,-11.9488464870616,-16.743457001526,-16.8648281076884,-24.7145884983815,-30.3178062478289
External balance on goods and services (constant LCU),3162388100,-616803200,1796258899.99999,1517168300,6078695400,5566036000,6161164800,-1431492300,-10777558900,-17435522500,-10654422300,-11588852300,-20955314100,-23977488300,-35338152400,-44662132800
External balance on goods and services (current LCU),-996222500,-1982167500,-733387400.000002,-3388932000,-967595700,63221300,2111641200,-3285558300,-8762960399.99999,-15632543000,-10654405600,-10766814400,-17892661000,-20708582000,-34294820300,-45501750000
External balance on goods and services (current US$),-143552047.609441,-230238291.595038,-69576726.40337,-447992914.457943,-149789572.271158,9941550.17061626,311842457.358045,-466340917.478071,-1060736987.36261,-1844830829.50777,-1455281320.00219,-1482807618.68036,-2179374056.02923,-2144833507.67988,-3160026564.81797,-3532223507.40186
Imports of goods and services (% of GDP),45.4180426204618,48.6339185428529,49.3291004917838,53.7725524417661,42.9000780703901,41.1047405016582,42.3220712256404,55.817517476383,66.8530504752261,73.1307975279188,60.6562070522037,57.4750027198605,60.1550707623781,58.0499012574067,63.4286626452509,68.7264230903771
Imports of goods and services (constant LCU),21809627700,24922053000,26455020100,29234384400,26325823300,26569528400,30905841500,40861497100,48490382900,55820898300,50101545400,49736367000,59486482500,63587191400,74759617200,83944992200
Imports of goods and services (annual % growth),-5.20733097031155,14.2708777188342,6.15104662525196,10.5059995777512,-9.94911013074044,0.925726414033946,16.3206250209545,32.2128604717008,18.6701083940461,15.1174623947958,-10.2458990703845,-0.728876518846874,19.6035940863956,6.89351383316369,17.570245758645,12.2865463254405
Imports of goods and services (constant 2010 US$),2978968350.23358,3404093280.77819,3613480645.64592,3993112907.0196,3595833706.25541,3629121288.67895,4221416565.75988,5581255594.01737,6623282063.16918,7624554238.37003,6843350106.53991,6793470534.51086,8125234922.47526,8685349115.83314,10211386300.4813,11466013008.7596
Imports of goods and services (current LCU),12084446500,14555876200,17032279600,19573903400,17958706100,18615131700,22453974000,34374042900,46871012700,55004730200,50101534800,51789324400,64283874500,71280367200,88015812500,103146398400
Imports of goods and services (current US$),1741324894.08917,1690735050.87581,1615858491.37154,2587532010.52256,2780114571.88414,2927229679.36723,3315952743.11452,4878934184.00659,5673632486.80579,6491229356.71548,6843350106.53991,7132435085.59309,7829948172.9598,7382664829.98622,8110038285.40363,8007079576.77051
Gross capital formation (% of GDP),17.433741633992,22.770255865235,19.0056236220835,19.8495294035064,19.4391654754587,20.0766416146731,22.6699709284128,24.3640050079166,27.8327931249552,26.4527310074123,24.1243005674323,22.3754354062923,26.7226689596707,25.0673827574819,33.6032465195912,33.8551587585902
Gross capital formation (constant LCU),7734788600,10515670400,10139410600,9797975000,10465496200,10939176900,14045895200,15810893300,19791458600,19157912200,19926474400,19023295700,26591881700,27724157600,39396957200,42480968300
Gross capital formation (annual % growth),-8.35375998424803,35.952912791954,-3.57808666197833,-3.36741072503759,6.81284857330213,4.52611793027071,28.3999274204991,12.5659352776603,25.176093624008,-3.20111020013454,4.01172211239175,-4.53255644661355,39.7858821066425,4.25797584681642,42.1033517714529,7.82804388761271
Gross capital formation (constant 2010 US$),1056492025.23487,1436331681.72151,1384938489.39606,1338301922.16897,1429478405.57993,1494178284.00423,1918523832.19429,2159604295.23432,2703308294.5106,2616772416.95394,2721750054.63585,2598385197.07375,3632175668.25796,3786832830.92633,5381216378.72811,5802460358.54235
Gross capital formation (current LCU),4638621700,6815017900,6562233900,7225485000,8137567000,9092122300,12027552600,15004059500,19513712400,19896204900,19926476500,20161959600,28556806200,30780625100,46629030500,50810700400
Gross capital formation (current US$),668408556.442549,791597117.037588,622561490.223609,955158168.863273,1259743796.15152,1429736338.90523,1776202111.79207,2129624932.58012,2362091754.22457,2347994960.87896,2721750054.63585,2776708708.04699,3478295517.66139,3188017224.05775,4296537313.29531,3944348302.65722
Changes in inventories (constant LCU),74468600,152394000,-143662000,28233900,87960800,188650600,93023900,163494800,1328242900,-1979446800,-957756800,-949756100,386920700,-2020922500,-360027200,-432199700
Changes in inventories (current LCU),140491600,423793200,-503630000,104797900,215715000,497748100,341720800,1450049900,1763190100,-1128736100,-957756800,-291214700,1042557100,-1784857300,259065700,778946500
Changes in inventories (current US$),20244329.8077754,49225619.1051433,-47779559.2323091,13853543.4319933,33393965.6640401,78270894.5953171,50464564.7197814,205815127.600988,213430264.368373,-133204633.159069,-130819647.052396,-40106140.9428324,126986248.477466,-184861606.819194,23871082.7720291,60468292.7207943
Gross fixed capital formation (% of GDP),16.905719645015,21.3542831209893,20.4642433956567,19.5616332972277,18.9238616284319,18.9775461682684,22.0258830695383,22.0093740478535,25.3179202864445,27.9534268728663,25.2838238235234,22.6986210409472,25.747072877261,26.5209497646895,33.4165506245978,33.336146873016
